V1,V2,V3,Group
2,9,-0.19492688010023873,A
3.8625,9.38125,0.5375660900877127,A
2.8825,9.26125,-1.2845278472053274,A
4.4025,9.401250000000001,-1.7116573097788799,A
4.9225,9.26125,-0.48251681508981675,A
5.4025,8.94125,0.0565470638320388,A
5.7025,8.48125,-1.1287058634495135,B
5.9225,7.86125,-0.09940019098272194,B
5.9225,7.38125,-1.5537832421900115,B
5.8025,6.82125,-0.5029572653350085,B
5.5225,6.44125,0.9602324985355295,B
5.1025,6.16125,-0.24766993195277187,B
4.5225,5.96125,-1.0181781344229006,C
4.1425,5.86125,0.257764269405873,C
3.7225,5.86125,0.2867625267225912,C
3.1425,5.86125,0.6392620963924486,C
2.7025,5.94125,-2.530256195932694,C
2.3825,6.18125,1.1638891638404576,C
2.1425,6.501250000000001,1.6665260033935019,D
1.8025,7.12125,1.4005084596119775,D
1.8025,7.56125,0.848230726106921,D
1.8225,8.28125,0.5376709101849436,D
1.9025,8.60125,-0.09969521964424544,D
2.3625,9.20125,-0.9353565470589853,D
3.2625,9.38125,0.7069846234190029,E
2.9225,8.28125,0.6773188240651873,E
4.5425,8.26125,-1.0600672670213853,E
2.8025,7.26125,-0.6740693932297319,E
3.1425,7.02125,-0.6645329696336947,E
3.6225,6.88125,0.8930200161258935,E
4,7,0.5266716635451802,F
4.5025,7.08125,-1.6723096123278014,F
4.8025,7.36125,-0.8556537681943257,F
3.5225,5.24125,-0.8019919276932758,F
3.5225,4.86125,1.0655216206024818,F
3.5225,4.46125,-0.725062104134784,F
3.7825,4.2212499999999995,-2.0223050194223395,G
4.3425,4.46125,-0.058069845691445764,G
4.6625,4.64125,-0.7797795139064927,G
4.9825,4.8412500000000005,-0.6736397941715969,G
5.2825,5.001250000000001,-0.7331715234644809,G
3.2425,4.58125,-0.662997235532594,G
2.7025,4.96125,1.1047220307186085,H
2.2025,5.10125,2.0830919712619202,H
1.9625,5.32125,3.1841398863931194,H
1.6625,5.48125,-1.7726425120993248,H
3.6625,3.88125,0.6125650147422348,H
3.7225,3.18125,0.5694576472684033,H
3.7425,2.70125,2.33882282329415,I
3.7825,2.40125,0.5171438834280427,I
4.0425,2.22125,0.32358685409717497,I
4.2825,1.96125,1.1950123565699378,I
4.5825,1.68125,0.5324025866795533,I
4.8025,1.38125,-0.7001760713992673,I
4.9825,1.14125,-0.8657989106726377,J
3.6225,2.14125,0.15857640067828785,J
3.3625,1.90125,0.5783320562170228,J
3.1825,1.60125,2.080171256034407,J
3.0025,1.32125,1.0897766854045445,J
2.7425,1.12125,0.9582886972714643,J
